Title,Date
"Fratura","14/10/2019"
"O Cobrador de Dívidas","13/10/2019"
"Implacável","08/10/2019"
"Aniquilação","06/10/2019"
"O Protetor","06/10/2019"
"AlphaGo","06/10/2019"
"Shaft","05/10/2019"
"Campo do Medo","04/10/2019"
"Sombra Lunar","29/09/2019"
"Fragmentado","23/09/2019"
"Jackass 2 - O Filme","22/09/2019"
"Inferno","21/09/2019"
"Uma saída de mestre","20/09/2019"
"Wu Assassins: Temporada 1: Juventude desperdiçada","19/09/2019"
"Wu Assassins: Temporada 1: Pedido errado","19/09/2019"
"Crush à Altura","14/09/2019"
"Hannibal","10/09/2019"
"A Grande Muralha","09/09/2019"
"Quatro irmãos","08/09/2019"
"Kardec","07/09/2019"
"A Vigilante do Amanhã: Ghost in the Shell","07/09/2019"
"30 Minutos ou Menos","05/09/2019"
"Mar em Fúria","05/09/2019"
"MINDHUNTER: Temporada 1: Episódio 2","31/08/2019"
"MINDHUNTER: Temporada 1: Episódio 1","31/08/2019"
"Hyperdrive: Temporada 1: Classificatória 3: Entra o assassino","24/08/2019"
"Hyperdrive: Temporada 1: Classificatória 2: Jogando os dados","24/08/2019"
"Hyperdrive: Temporada 1: Classificatória 1: Prontos para a largada","24/08/2019"
"Impacto Profundo","23/08/2019"
"O Dilema","23/08/2019"
"O Contador","22/08/2019"
"Animais Noturnos","20/08/2019"
"Seis Vezes Confusão","19/08/2019"
"One Strange Rock: Temporada 1: Tempestade","18/08/2019"
"One Strange Rock: Temporada 1: Suspiro","17/08/2019"
"O Regresso","15/08/2019"
"O Homem de Aço","11/08/2019"
"O Filho Protegido","09/08/2019"
"Capitão América: Guerra Civil","08/08/2019"
"Falcons em Jogo","04/08/2019"
"Missão no Mar Vermelho","03/08/2019"
"Marco Polo: Temporada 1: Os viajantes","30/07/2019"
"Império Romano: Calígula: O Imperador Louco: Herdeiro por direito","30/07/2019"
"Os caminhos do Senhor: Temporada 1: Episódio 1","30/07/2019"
"Snowden - Herói ou Traidor","30/07/2019"
"Privacidade Hackeada","28/07/2019"
"Quebrando a banca","27/07/2019"
"One-Punch Man: Temporada 1: O cientista obstinado","26/07/2019"
"One-Punch Man: Temporada 1: O ciborgue solitário","26/07/2019"
"One-Punch Man: Temporada 1: O homem mais poderoso","26/07/2019"
"La casa de papel: Parte 1: Episódio 1","26/07/2019"
"The Worthy","21/07/2019"
"No Fim do Túnel","21/07/2019"
"Ponto Final - Match Point","21/07/2019"
"La casa de papel: Parte 3: À deriva","20/07/2019"
"La casa de papel: Parte 3: Férias curtas","20/07/2019"
"La casa de papel: Parte 3: Tudo parecia insignificante","20/07/2019"
"La casa de papel: Parte 3: Bum, bum, ciao","20/07/2019"
"La casa de papel: Parte 3: Hora do golfinho","20/07/2019"
"La casa de papel: Parte 3: 48 metros de profundidade","20/07/2019"
"La casa de papel: Parte 3: Aikido","20/07/2019"
"La casa de papel: Parte 3: Estamos de volta","20/07/2019"
"Terra Violenta","20/07/2019"
